epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9849,1.87949,3.51422,1.88616,0.41651,0.27802,0.12154,0.06269,1.29824,3.75724,1.71874,0.000301727,0.000301727,0.000301727
2,60.0526,1.76481,2.6999,1.81527,0.27286,0.32509,0.27605,0.14698,1.35326,2.86647,1.75529,0.000592753,0.000592753,0.000592753
3,86.8334,1.70735,2.48463,1.78283,0.42368,0.35397,0.2962,0.17341,1.34389,2.58751,1.71477,0.000871781,0.000871781,0.000871781
4,113.57,1.67848,2.36392,1.76326,0.46796,0.47274,0.34427,0.1789,1.33284,2.74721,1.737,0.000855005,0.000855005,0.000855005
5,140.083,1.64546,2.27434,1.73407,0.44782,0.39475,0.32633,0.2044,1.25275,2.4132,1.6549,0.000837007,0.000837007,0.000837007
6,166.563,1.6151,2.212,1.71301,0.68096,0.36391,0.40139,0.24304,1.22743,2.94897,1.65217,0.000819009,0.000819009,0.000819009
7,193.129,1.59403,2.16496,1.70068,0.44423,0.47916,0.39866,0.24379,1.20346,2.35943,1.60555,0.000801011,0.000801011,0.000801011
8,219.646,1.57493,2.11408,1.67117,0.43239,0.60004,0.46147,0.30395,1.09486,2.21009,1.48819,0.000783013,0.000783013,0.000783013
9,246.103,1.55231,2.07986,1.65152,0.62907,0.45974,0.42966,0.2799,1.15934,1.88007,1.57709,0.000765014,0.000765014,0.000765014
10,272.618,1.54073,2.04589,1.64084,0.73248,0.49339,0.52015,0.32457,1.15362,1.74925,1.53897,0.000747016,0.000747016,0.000747016
11,299.41,1.5215,2.02414,1.6329,0.53054,0.52216,0.47924,0.31812,1.10907,1.70107,1.52258,0.000729018,0.000729018,0.000729018
12,325.629,1.50748,1.98875,1.62237,0.41429,0.56196,0.51292,0.32994,1.15377,1.73465,1.52674,0.00071102,0.00071102,0.00071102
13,352.044,1.51058,1.97975,1.62567,0.42368,0.60395,0.51217,0.33726,1.12215,1.7306,1.54004,0.000693022,0.000693022,0.000693022
14,378.349,1.49762,1.95743,1.61586,0.55766,0.57251,0.58771,0.39462,1.05154,1.49857,1.46715,0.000675023,0.000675023,0.000675023
15,404.509,1.48311,1.93226,1.60686,0.39468,0.54529,0.49918,0.35186,1.05516,1.66748,1.45557,0.000657025,0.000657025,0.000657025
16,430.772,1.47461,1.9103,1.59233,0.48852,0.51045,0.54848,0.35817,1.10762,1.6298,1.4986,0.000639027,0.000639027,0.000639027
17,457.135,1.47311,1.88872,1.58965,0.5041,0.66934,0.6093,0.42318,1.03246,1.39127,1.40729,0.000621029,0.000621029,0.000621029
18,483.303,1.45937,1.87718,1.57899,0.49919,0.65823,0.62153,0.41667,1.05448,1.48327,1.42906,0.000603031,0.000603031,0.000603031
19,509.374,1.4503,1.87702,1.57526,0.43521,0.62281,0.59958,0.41196,1.04034,1.43388,1.42562,0.000585032,0.000585032,0.000585032
20,535.677,1.45558,1.8667,1.57741,0.58874,0.59834,0.6224,0.42086,1.02334,1.36252,1.41647,0.000567034,0.000567034,0.000567034
21,561.861,1.43163,1.8504,1.55896,0.52842,0.67961,0.6197,0.40253,1.05076,1.50012,1.42415,0.000549036,0.000549036,0.000549036
22,587.583,1.4264,1.82467,1.55608,0.51382,0.68304,0.65085,0.43838,1.02039,1.3567,1.39012,0.000531038,0.000531038,0.000531038
23,613.904,1.43522,1.82957,1.56026,0.62075,0.62927,0.64355,0.43334,1.04047,1.3816,1.44334,0.00051304,0.00051304,0.00051304
24,640.292,1.4183,1.79751,1.55027,0.56439,0.68711,0.68307,0.46371,1.02606,1.41542,1.42793,0.000495041,0.000495041,0.000495041
25,666.735,1.40951,1.79903,1.54756,0.56958,0.67783,0.66548,0.46184,1.02102,1.27037,1.39958,0.000477043,0.000477043,0.000477043
26,693.045,1.40885,1.79696,1.54005,0.51424,0.72647,0.66639,0.46739,0.98273,1.28572,1.38636,0.000459045,0.000459045,0.000459045
27,719.374,1.40279,1.76837,1.53198,0.50474,0.71669,0.64107,0.46532,0.99175,1.27053,1.3687,0.000441047,0.000441047,0.000441047
28,745.799,1.39481,1.7589,1.52803,0.53095,0.75474,0.69845,0.49643,0.96705,1.25176,1.35615,0.000423049,0.000423049,0.000423049
29,772.135,1.39463,1.75912,1.52627,0.65414,0.73156,0.74483,0.50432,1.01727,1.17348,1.3992,0.00040505,0.00040505,0.00040505
30,798.365,1.39159,1.75015,1.52752,0.61872,0.72021,0.70129,0.49851,0.98777,1.20922,1.35781,0.000387052,0.000387052,0.000387052
31,824.728,1.38351,1.73053,1.51909,0.56072,0.73576,0.73184,0.5266,0.9473,1.20377,1.3324,0.000369054,0.000369054,0.000369054
32,850.924,1.37248,1.7199,1.50917,0.66246,0.70106,0.72825,0.52685,0.98288,1.18346,1.36608,0.000351056,0.000351056,0.000351056
33,877.208,1.36949,1.70391,1.5079,0.73162,0.67524,0.7429,0.51036,0.98455,1.16758,1.36519,0.000333058,0.000333058,0.000333058
34,903.354,1.36107,1.69371,1.49847,0.58248,0.74231,0.70831,0.50545,0.97846,1.20522,1.36085,0.000315059,0.000315059,0.000315059
35,929.576,1.35434,1.68576,1.49222,0.62644,0.74135,0.75718,0.52663,0.96893,1.11563,1.34752,0.000297061,0.000297061,0.000297061
36,955.706,1.34969,1.67779,1.48781,0.65657,0.70532,0.73502,0.51289,0.95836,1.13288,1.33101,0.000279063,0.000279063,0.000279063
37,981.92,1.35664,1.6724,1.49381,0.67965,0.6901,0.75259,0.53168,0.93278,1.0686,1.32197,0.000261065,0.000261065,0.000261065
38,1008.33,1.34247,1.65461,1.47963,0.67211,0.72632,0.74242,0.52919,0.92198,1.06065,1.29734,0.000243067,0.000243067,0.000243067
39,1034.42,1.34281,1.65918,1.48267,0.75799,0.61824,0.72458,0.5193,0.92932,1.07516,1.30744,0.000225068,0.000225068,0.000225068
40,1061,1.33347,1.65868,1.48201,0.55317,0.77271,0.73209,0.52387,0.92116,1.09867,1.29938,0.00020707,0.00020707,0.00020707
41,1087.38,0.94279,1.5381,1.44562,0.65646,0.72375,0.74963,0.5304,0.92806,1.10748,1.32297,0.000189072,0.000189072,0.000189072
42,1113.01,0.91245,1.32012,1.42061,0.70099,0.79536,0.80861,0.56826,0.89891,1.01331,1.30304,0.000171074,0.000171074,0.000171074
43,1138.1,0.91064,1.29387,1.40865,0.6923,0.79053,0.8016,0.58924,0.8673,0.98337,1.26052,0.000153076,0.000153076,0.000153076
44,1162.88,0.89363,1.24621,1.40046,0.65386,0.7562,0.76869,0.57128,0.88566,0.97907,1.28236,0.000135077,0.000135077,0.000135077
45,1187.7,0.8804,1.21663,1.38529,0.73796,0.74325,0.80917,0.57175,0.89731,0.9465,1.29432,0.000117079,0.000117079,0.000117079
46,1212.65,0.87066,1.20186,1.37733,0.73341,0.77804,0.81935,0.58263,0.87843,0.95254,1.27286,9.9081e-05,9.9081e-05,9.9081e-05
47,1237.98,0.8583,1.17665,1.36371,0.76323,0.83736,0.84711,0.61739,0.85866,0.90204,1.25107,8.10828e-05,8.10828e-05,8.10828e-05
48,1263.55,0.85395,1.16291,1.36054,0.71291,0.7929,0.83171,0.60892,0.85705,0.92278,1.24157,6.30846e-05,6.30846e-05,6.30846e-05
49,1288.89,0.84912,1.14848,1.35835,0.73219,0.80383,0.83579,0.61138,0.84177,0.90366,1.22876,4.50864e-05,4.50864e-05,4.50864e-05
50,1314.3,0.84207,1.13894,1.3557,0.74079,0.79539,0.83962,0.61656,0.83468,0.88786,1.21664,2.70882e-05,2.70882e-05,2.70882e-05
