epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1779,1.97204,4.3644,2.36095,0.45031,0.06374,0.03942,0.02076,2.00542,5.01536,2.79153,0.0672773,0.000330532,0.000330532
2,51.9214,1.86449,3.46866,2.28246,0.23594,0.24472,0.21599,0.11782,1.49549,4.13377,2.25577,0.0342685,0.000655103,0.000655103
3,74.8193,1.81594,3.17743,2.25599,0.50203,0.3578,0.29739,0.16607,1.59626,3.19481,2.33303,0.00125098,0.000970873,0.000970873
4,97.9203,1.79744,3.06559,2.23326,0.57957,0.3437,0.31296,0.17746,1.51517,3.26973,2.19233,0.0009604,0.0009604,0.0009604
5,120.885,1.77243,2.95566,2.20933,0.35971,0.53514,0.42336,0.25712,1.4134,2.73373,2.13667,0.0009472,0.0009472,0.0009472
6,143.928,1.73175,2.84048,2.17136,0.54544,0.45068,0.44376,0.26342,1.3451,2.54124,2.04166,0.000934,0.000934,0.000934
7,166.955,1.7181,2.826,2.16682,0.59943,0.47021,0.45423,0.29438,1.24565,2.81191,1.95438,0.0009208,0.0009208,0.0009208
8,189.902,1.69569,2.75218,2.13205,0.48279,0.49615,0.46986,0.29918,1.29276,2.27967,1.99458,0.0009076,0.0009076,0.0009076
9,213.028,1.67974,2.69457,2.10951,0.53303,0.48005,0.44179,0.28081,1.32452,2.72573,2.0483,0.0008944,0.0008944,0.0008944
10,236.021,1.65782,2.66683,2.09932,0.49468,0.55437,0.48707,0.30805,1.28099,2.33523,1.97447,0.0008812,0.0008812,0.0008812
11,258.978,1.6365,2.63214,2.07968,0.46268,0.52736,0.51305,0.34554,1.21722,2.28304,1.90036,0.000868,0.000868,0.000868
12,281.942,1.62915,2.59913,2.07111,0.48077,0.60175,0.58,0.38902,1.17421,1.95524,1.84257,0.0008548,0.0008548,0.0008548
13,305.045,1.62017,2.58101,2.06297,0.42971,0.56863,0.53418,0.35602,1.22519,2.0275,1.89809,0.0008416,0.0008416,0.0008416
14,328.003,1.61245,2.52972,2.05471,0.5032,0.58153,0.51572,0.33381,1.25051,2.31111,1.9454,0.0008284,0.0008284,0.0008284
15,351.128,1.59644,2.49903,2.0368,0.48819,0.60102,0.54653,0.36399,1.17572,2.00681,1.87084,0.0008152,0.0008152,0.0008152
16,374.001,1.59002,2.4912,2.03983,0.46514,0.56077,0.54554,0.3596,1.13635,2.29254,1.83452,0.000802,0.000802,0.000802
17,396.568,1.59604,2.48564,2.04257,0.50521,0.52121,0.51819,0.35074,1.1199,1.94954,1.79556,0.0007888,0.0007888,0.0007888
