epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,304.089,1.4253,1.85669,1.5538,0.56673,0.54971,0.54234,0.37115,1.02241,1.43623,1.36634,0.0008416,0.0008416,0.0008416
14,326.991,1.41154,1.81812,1.54306,0.48473,0.57914,0.57106,0.38484,1.03764,1.38687,1.39167,0.0008284,0.0008284,0.0008284
15,350.2,1.40954,1.7968,1.53989,0.60988,0.56042,0.51238,0.33794,1.07521,1.57726,1.43837,0.0008152,0.0008152,0.0008152
16,373.199,1.40337,1.79219,1.53718,0.56,0.58705,0.54309,0.36792,1.0009,1.53585,1.38098,0.000802,0.000802,0.000802
17,396.209,1.407,1.78593,1.53117,0.42772,0.55777,0.53038,0.37036,1.00367,1.39183,1.37228,0.0007888,0.0007888,0.0007888
18,419.301,1.37835,1.75731,1.51377,0.49903,0.60336,0.53012,0.35717,1.05717,1.61384,1.4093,0.0007756,0.0007756,0.0007756
19,442.411,1.37594,1.74908,1.51635,0.54682,0.63529,0.61921,0.43966,0.96342,1.28119,1.31079,0.0007624,0.0007624,0.0007624
20,465.881,1.36329,1.72145,1.50107,0.5336,0.58314,0.57484,0.38248,1.01216,1.50344,1.3702,0.0007492,0.0007492,0.0007492
21,489.006,1.36607,1.72305,1.50177,0.47658,0.59279,0.52719,0.34141,1.09592,1.70907,1.47469,0.000736,0.000736,0.000736
22,512.154,1.34593,1.69996,1.48567,0.71794,0.5498,0.67124,0.45544,0.94171,1.21705,1.30564,0.0007228,0.0007228,0.0007228
23,535.296,1.34232,1.68821,1.48493,0.57507,0.58236,0.59442,0.40632,0.98444,1.19077,1.3407,0.0007096,0.0007096,0.0007096
24,558.394,1.34671,1.67509,1.48694,0.52116,0.64156,0.6301,0.44226,0.95416,1.23642,1.31621,0.0006964,0.0006964,0.0006964
25,581.438,1.33994,1.66765,1.48176,0.7173,0.52582,0.63145,0.45934,0.92663,1.29728,1.29985,0.0006832,0.0006832,0.0006832
26,604.473,1.32439,1.6441,1.46855,0.55001,0.65381,0.61677,0.4207,0.95044,1.30875,1.31606,0.00067,0.00067,0.00067
27,627.353,1.32131,1.65739,1.46947,0.56599,0.63368,0.63966,0.44622,0.9312,1.11867,1.27189,0.0006568,0.0006568,0.0006568
28,650.425,1.31558,1.63686,1.45901,0.71039,0.65526,0.6999,0.4624,0.93488,1.22099,1.29428,0.0006436,0.0006436,0.0006436
29,673.432,1.30988,1.61879,1.45893,0.63295,0.65109,0.69368,0.47727,0.94586,1.10103,1.31108,0.0006304,0.0006304,0.0006304
30,696.436,1.31688,1.62038,1.45793,0.68774,0.64087,0.73509,0.49987,0.91304,1.06633,1.2689,0.0006172,0.0006172,0.0006172
31,719.48,1.30879,1.61689,1.45768,0.66602,0.68999,0.72566,0.50769,0.91726,1.07151,1.27551,0.000604,0.000604,0.000604
32,742.466,1.29708,1.59619,1.44544,0.63838,0.64388,0.71344,0.50892,0.89346,1.08827,1.24682,0.0005908,0.0005908,0.0005908
33,765.489,1.29622,1.59142,1.44508,0.63448,0.66983,0.70203,0.50801,0.88515,1.13608,1.23936,0.0005776,0.0005776,0.0005776
34,788.469,1.29045,1.5746,1.44015,0.71744,0.63567,0.68335,0.49643,0.90437,1.08848,1.27079,0.0005644,0.0005644,0.0005644
35,811.545,1.27814,1.56387,1.43321,0.65458,0.6968,0.71693,0.53184,0.87027,1.06157,1.24142,0.0005512,0.0005512,0.0005512
36,834.603,1.29067,1.57818,1.44484,0.57067,0.67449,0.67332,0.485,0.91611,1.09524,1.28091,0.000538,0.000538,0.000538
37,857.685,1.27073,1.5601,1.43016,0.702,0.68748,0.70478,0.48599,0.9394,1.12117,1.28922,0.0005248,0.0005248,0.0005248
38,880.589,1.26658,1.53646,1.42052,0.70735,0.70062,0.75174,0.55579,0.88846,0.97606,1.23311,0.0005116,0.0005116,0.0005116
39,903.549,1.26537,1.54083,1.42675,0.68302,0.72202,0.74946,0.53272,0.87191,1.06151,1.23502,0.0004984,0.0004984,0.0004984
40,926.496,1.2699,1.53848,1.42356,0.76487,0.73028,0.80308,0.55689,0.88483,0.97871,1.22674,0.0004852,0.0004852,0.0004852
41,949.524,1.26658,1.53821,1.42344,0.65707,0.7025,0.73487,0.53498,0.85866,1.02233,1.20885,0.000472,0.000472,0.000472
42,972.48,1.26224,1.52868,1.42008,0.6847,0.74867,0.77155,0.53527,0.86399,0.95524,1.21776,0.0004588,0.0004588,0.0004588
43,995.506,1.25376,1.51274,1.41284,0.74972,0.7037,0.78815,0.55603,0.85378,0.90729,1.19451,0.0004456,0.0004456,0.0004456
44,1018.51,1.2481,1.51034,1.4129,0.69024,0.75119,0.78883,0.57135,0.84274,0.97566,1.19714,0.0004324,0.0004324,0.0004324
45,1041.51,1.24206,1.49312,1.40319,0.69831,0.71808,0.76368,0.55348,0.87216,0.92779,1.20677,0.0004192,0.0004192,0.0004192
46,1064.47,1.24276,1.49069,1.40102,0.62761,0.76149,0.75853,0.56112,0.84905,0.92462,1.20277,0.000406,0.000406,0.000406
47,1087.49,1.23992,1.48027,1.39875,0.71438,0.73218,0.79314,0.5735,0.83913,0.93822,1.18192,0.0003928,0.0003928,0.0003928
48,1110.01,1.24346,1.49601,1.40337,0.72819,0.70144,0.78401,0.56485,0.83469,0.91339,1.18791,0.0003796,0.0003796,0.0003796
49,1132.53,1.23012,1.47643,1.39483,0.69779,0.73,0.7724,0.58603,0.81211,0.88326,1.1654,0.0003664,0.0003664,0.0003664
50,1155.08,1.23339,1.48372,1.39858,0.71282,0.7367,0.79348,0.58723,0.80421,0.92683,1.18003,0.0003532,0.0003532,0.0003532
51,1177.61,1.22923,1.46442,1.38945,0.6885,0.82276,0.82319,0.59253,0.8351,0.86067,1.18986,0.00034,0.00034,0.00034
52,1200.66,1.22309,1.45157,1.38814,0.74493,0.69209,0.78909,0.57469,0.82618,0.91912,1.17887,0.0003268,0.0003268,0.0003268
53,1223.57,1.22436,1.45442,1.3873,0.68638,0.80499,0.80602,0.60048,0.82099,0.87553,1.18467,0.0003136,0.0003136,0.0003136
54,1246.47,1.21811,1.44421,1.38465,0.73141,0.71277,0.79221,0.58569,0.82626,0.88499,1.19184,0.0003004,0.0003004,0.0003004
55,1269.36,1.21583,1.44989,1.38113,0.73254,0.71455,0.80843,0.60774,0.80116,0.89532,1.17061,0.0002872,0.0002872,0.0002872
56,1292.25,1.20187,1.4351,1.37305,0.74911,0.75381,0.82899,0.6086,0.80785,0.85651,1.17143,0.000274,0.000274,0.000274
57,1315.22,1.19698,1.42043,1.36834,0.78513,0.7335,0.83037,0.60425,0.80688,0.85348,1.16658,0.0002608,0.0002608,0.0002608
58,1338.12,1.20835,1.42361,1.37524,0.77772,0.77884,0.84653,0.62282,0.81493,0.84324,1.1731,0.0002476,0.0002476,0.0002476
59,1361.16,1.19829,1.42751,1.37185,0.74861,0.73304,0.79484,0.59614,0.80304,0.84312,1.16443,0.0002344,0.0002344,0.0002344
60,1384.12,1.20508,1.41838,1.37036,0.76553,0.76616,0.83446,0.62708,0.80296,0.84887,1.1633,0.0002212,0.0002212,0.0002212
61,1407.2,1.18779,1.40582,1.36345,0.79588,0.75246,0.83707,0.62421,0.79231,0.83412,1.15055,0.000208,0.000208,0.000208
62,1430.2,1.19507,1.41247,1.36644,0.79402,0.76904,0.84732,0.62752,0.79075,0.79838,1.1427,0.0001948,0.0001948,0.0001948
63,1453.19,1.19138,1.41185,1.36716,0.7847,0.72264,0.82619,0.63802,0.77529,0.81954,1.14011,0.0001816,0.0001816,0.0001816
64,1476.22,1.18802,1.39992,1.36133,0.81303,0.79912,0.8562,0.64693,0.77435,0.79301,1.14138,0.0001684,0.0001684,0.0001684
65,1499.45,1.18493,1.40125,1.35839,0.79759,0.79212,0.85784,0.64136,0.78548,0.7999,1.14604,0.0001552,0.0001552,0.0001552
66,1523.08,0.86718,1.3055,1.36241,0.79943,0.74335,0.82527,0.60323,0.79498,0.85317,1.16452,0.000142,0.000142,0.000142
67,1545.37,0.84301,1.12854,1.35094,0.79088,0.76781,0.84623,0.62348,0.78213,0.78665,1.14957,0.0001288,0.0001288,0.0001288
68,1567.57,0.82709,1.09054,1.33459,0.80303,0.75813,0.83762,0.63856,0.76568,0.76379,1.12906,0.0001156,0.0001156,0.0001156
69,1589.76,0.82761,1.08681,1.33472,0.80699,0.78669,0.86136,0.63962,0.76706,0.80058,1.13048,0.0001024,0.0001024,0.0001024
70,1611.95,0.81153,1.0566,1.31638,0.85355,0.76659,0.87981,0.66081,0.76652,0.75008,1.12067,8.92e-05,8.92e-05,8.92e-05
71,1634.19,0.8014,1.0548,1.30881,0.85185,0.76412,0.86613,0.64334,0.75087,0.74767,1.12116,7.6e-05,7.6e-05,7.6e-05
72,1656.51,0.81726,1.0487,1.32602,0.79517,0.81447,0.88303,0.66132,0.74564,0.73752,1.11345,6.28e-05,6.28e-05,6.28e-05
73,1679.12,0.79648,1.02161,1.30688,0.78671,0.79942,0.87621,0.65586,0.74766,0.72703,1.11436,4.96e-05,4.96e-05,4.96e-05
74,1701.49,0.79801,1.027,1.30755,0.86013,0.75082,0.88173,0.66961,0.7475,0.72026,1.1158,3.64e-05,3.64e-05,3.64e-05
75,1723.79,0.79198,1.01075,1.30376,0.82598,0.77668,0.87839,0.66157,0.74281,0.72459,1.11412,2.32e-05,2.32e-05,2.32e-05
