epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.708,1.73937,3.13975,1.77294,0.69214,0.21409,0.12745,0.0713,1.37264,3.18073,1.74781,0.0672773,0.000330532,0.000330532
2,51.0476,1.65615,2.50714,1.72515,0.6976,0.23912,0.17572,0.09173,1.42732,3.01791,1.75091,0.0342685,0.000655103,0.000655103
3,73.8278,1.59639,2.28748,1.69537,0.29998,0.345,0.26988,0.15468,1.28517,2.35189,1.63876,0.00125098,0.000970873,0.000970873
4,96.6902,1.5784,2.20056,1.68538,0.41687,0.38558,0.27714,0.13796,1.45623,2.48497,1.78686,0.0009604,0.0009604,0.0009604
5,119.57,1.56379,2.11434,1.66372,0.48835,0.50298,0.42219,0.26294,1.15524,2.10766,1.53021,0.0009472,0.0009472,0.0009472
6,142.376,1.52536,2.05233,1.63711,0.53723,0.45249,0.37313,0.21654,1.33915,1.8894,1.66604,0.000934,0.000934,0.000934
7,165.239,1.51659,2.03175,1.6379,0.53074,0.43246,0.39997,0.24122,1.28288,1.93776,1.63078,0.0009208,0.0009208,0.0009208
8,188.091,1.48888,1.98092,1.60624,0.5777,0.48309,0.46524,0.28271,1.20888,1.72852,1.57059,0.0009076,0.0009076,0.0009076
9,211.327,1.47935,1.94646,1.59348,0.56208,0.45174,0.45038,0.29658,1.12769,1.88186,1.48925,0.0008944,0.0008944,0.0008944
10,234.386,1.45994,1.91933,1.58159,0.50773,0.53104,0.45758,0.30166,1.10221,1.60374,1.44596,0.0008812,0.0008812,0.0008812
11,257.757,1.43882,1.88796,1.56682,0.53892,0.52757,0.45496,0.28636,1.16685,1.65083,1.51127,0.000868,0.000868,0.000868
12,280.938,1.43641,1.8662,1.56007,0.5158,0.57326,0.56045,0.37387,1.06895,1.50215,1.41857,0.0008548,0.0008548,0.0008548
