epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,993.045,1.04061,1.45877,1.31232,0.62191,0.56561,0.59618,0.43266,0.92704,1.25942,1.32183,0.0005941,0.0005941,0.0005941
43,1016.56,1.04162,1.44747,1.31096,0.51802,0.65231,0.61249,0.44372,0.91971,1.31263,1.31882,0.0005842,0.0005842,0.0005842
44,1040.12,1.03885,1.45069,1.30893,0.54095,0.6479,0.64229,0.43887,0.92633,1.26241,1.32836,0.0005743,0.0005743,0.0005743
45,1063.56,1.02752,1.42876,1.29652,0.59253,0.58011,0.64444,0.44578,0.93675,1.22359,1.31425,0.0005644,0.0005644,0.0005644
46,1087.18,1.03491,1.43575,1.30314,0.59857,0.70035,0.67622,0.45996,0.90779,1.20891,1.30814,0.0005545,0.0005545,0.0005545
47,1110.77,1.03676,1.42819,1.30085,0.5707,0.61027,0.6411,0.4392,0.93066,1.33751,1.32914,0.0005446,0.0005446,0.0005446
48,1134.31,1.04151,1.4382,1.30352,0.63277,0.64178,0.65015,0.45715,0.88933,1.16572,1.29379,0.0005347,0.0005347,0.0005347
49,1157.86,1.01997,1.41266,1.29243,0.62981,0.61904,0.6561,0.47343,0.8939,1.21027,1.28168,0.0005248,0.0005248,0.0005248
50,1181.38,1.02668,1.42802,1.2979,0.63234,0.58804,0.64792,0.45352,0.91277,1.19503,1.31376,0.0005149,0.0005149,0.0005149
51,1204.66,1.02771,1.41794,1.29226,0.60544,0.72859,0.70804,0.49475,0.87851,1.16846,1.28303,0.000505,0.000505,0.000505
52,1228.23,1.01787,1.39237,1.28783,0.68349,0.61426,0.69782,0.49605,0.88342,1.15728,1.27592,0.0004951,0.0004951,0.0004951
53,1251.83,1.02215,1.40098,1.28685,0.64981,0.67367,0.68518,0.48321,0.89539,1.11516,1.29359,0.0004852,0.0004852,0.0004852
54,1275.32,1.02411,1.39564,1.28956,0.64722,0.61117,0.67688,0.49104,0.90201,1.09801,1.29079,0.0004753,0.0004753,0.0004753
55,1298.32,1.02026,1.40214,1.28441,0.69883,0.61993,0.68261,0.47868,0.91384,1.15136,1.31065,0.0004654,0.0004654,0.0004654
56,1321.45,1.00893,1.38849,1.282,0.60119,0.70956,0.71295,0.49351,0.89024,1.13437,1.29202,0.0004555,0.0004555,0.0004555
57,1344.91,1.00413,1.37876,1.27604,0.61822,0.62506,0.64065,0.46966,0.86303,1.16375,1.24961,0.0004456,0.0004456,0.0004456
58,1368.42,1.01255,1.38758,1.28178,0.64047,0.64082,0.65924,0.48564,0.85671,1.1237,1.24841,0.0004357,0.0004357,0.0004357
59,1392,1.00771,1.37915,1.28137,0.59261,0.71046,0.67156,0.49185,0.86412,1.19335,1.26078,0.0004258,0.0004258,0.0004258
60,1415.53,1.00673,1.36688,1.27563,0.58736,0.6252,0.63875,0.47562,0.86086,1.21258,1.2513,0.0004159,0.0004159,0.0004159
61,1438.67,1.00406,1.36403,1.27563,0.58949,0.72812,0.69295,0.48681,0.86683,1.15817,1.26967,0.000406,0.000406,0.000406
62,1461.46,1.00633,1.37296,1.27803,0.60215,0.66745,0.67892,0.49383,0.86919,1.11188,1.25434,0.0003961,0.0003961,0.0003961
