epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8873,1.87188,3.51483,1.85818,0.6353,0.17225,0.08587,0.04783,1.33752,5.26979,1.69033,0.000301727,0.000301727,0.000301727
2,61.3397,1.75779,2.87383,1.78732,0.24574,0.35353,0.11861,0.05501,1.43904,3.84517,1.77518,0.000574793,0.000574793,0.000574793
3,88.008,1.70835,2.64192,1.7686,0.4286,0.32327,0.26069,0.15725,1.37726,2.65455,1.78549,0.000817862,0.000817862,0.000817862
4,114.358,1.67446,2.53088,1.74234,0.38264,0.37261,0.28442,0.14009,1.41776,3.01623,1.80866,0.000774013,0.000774013,0.000774013
5,140.828,1.63121,2.43203,1.70478,0.43856,0.39627,0.30244,0.18308,1.28156,2.73062,1.68973,0.000729018,0.000729018,0.000729018
6,166.96,1.60143,2.36834,1.688,0.50864,0.43246,0.40568,0.23434,1.31859,2.41521,1.68765,0.000684022,0.000684022,0.000684022
7,193.392,1.57711,2.30146,1.6751,0.45792,0.44043,0.42671,0.24471,1.26439,1.9755,1.63622,0.000639027,0.000639027,0.000639027
8,219.4,1.54959,2.25966,1.65091,0.53948,0.44275,0.47526,0.30521,1.16289,1.85897,1.55306,0.000594031,0.000594031,0.000594031
9,245.537,1.53396,2.22447,1.63249,0.47305,0.47956,0.43405,0.25527,1.27255,2.08271,1.67204,0.000549036,0.000549036,0.000549036
10,271.795,1.51215,2.18252,1.6262,0.58266,0.42965,0.47017,0.28848,1.16091,1.97199,1.57733,0.00050404,0.00050404,0.00050404
11,298.155,1.15347,2.02359,1.63548,0.63585,0.49046,0.5143,0.33406,1.18655,1.77169,1.5949,0.000459045,0.000459045,0.000459045
12,323.791,1.1243,1.82057,1.60998,0.50766,0.57059,0.5552,0.36309,1.13674,1.54267,1.51711,0.000414049,0.000414049,0.000414049
13,349.24,1.09447,1.73045,1.59029,0.582,0.58178,0.55481,0.37625,1.09574,1.58159,1.48173,0.000369054,0.000369054,0.000369054
14,374.686,1.06521,1.63742,1.55985,0.47148,0.55738,0.53859,0.37983,1.07327,1.44921,1.45552,0.000324058,0.000324058,0.000324058
15,400.419,1.03655,1.60134,1.53778,0.61064,0.57414,0.5917,0.40928,1.00741,1.34224,1.3983,0.000279063,0.000279063,0.000279063
16,426.092,1.0279,1.56051,1.51881,0.61071,0.64196,0.61308,0.42341,1.02605,1.28253,1.41629,0.000234068,0.000234068,0.000234068
17,451.787,0.99883,1.48949,1.50299,0.503,0.64138,0.60413,0.41562,1.01733,1.29132,1.38457,0.000189072,0.000189072,0.000189072
18,477.351,0.97571,1.44877,1.47528,0.62788,0.63548,0.62288,0.43359,0.9964,1.28368,1.37605,0.000144077,0.000144077,0.000144077
19,503.022,0.96363,1.42142,1.46536,0.57626,0.63551,0.63225,0.44783,0.98332,1.25233,1.36735,9.9081e-05,9.9081e-05,9.9081e-05
20,528.878,0.95028,1.39631,1.46,0.60112,0.6305,0.63852,0.44496,0.98264,1.20998,1.36892,5.40855e-05,5.40855e-05,5.40855e-05
