epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,638.929,1.36492,1.73781,1.50669,0.58229,0.62126,0.65301,0.44908,1.01695,1.2989,1.3985,0.0007723,0.0007723,0.0007723
25,665.103,1.36152,1.72528,1.50046,0.59285,0.63127,0.62931,0.44326,1.05627,1.2643,1.44637,0.0007624,0.0007624,0.0007624
26,691.432,1.35483,1.69916,1.49401,0.63346,0.66358,0.6836,0.46724,1.06098,1.21969,1.44669,0.0007525,0.0007525,0.0007525
27,717.923,1.34189,1.68343,1.48983,0.65365,0.6856,0.70337,0.48983,1.00487,1.207,1.39739,0.0007426,0.0007426,0.0007426
28,744.233,1.34854,1.69259,1.4903,0.64608,0.6258,0.68684,0.48234,1.04056,1.27537,1.42751,0.0007327,0.0007327,0.0007327
29,770.646,1.34025,1.68426,1.48646,0.60902,0.69182,0.67514,0.46028,1.01911,1.16872,1.39881,0.0007228,0.0007228,0.0007228
30,796.933,1.33556,1.67954,1.47719,0.54747,0.65418,0.63488,0.45502,1.02421,1.32336,1.40928,0.0007129,0.0007129,0.0007129
31,823.276,1.32813,1.65719,1.47618,0.56316,0.65359,0.63692,0.44553,1.01752,1.31222,1.41051,0.000703,0.000703,0.000703
32,849.469,1.33305,1.64938,1.47336,0.62137,0.67881,0.67782,0.46674,1.02235,1.17149,1.41116,0.0006931,0.0006931,0.0006931
33,875.827,1.31609,1.65163,1.46427,0.62027,0.67352,0.68727,0.47236,1.01823,1.1706,1.38508,0.0006832,0.0006832,0.0006832
34,902.061,1.32489,1.65488,1.47355,0.65123,0.69472,0.69802,0.48081,1.01335,1.15805,1.3923,0.0006733,0.0006733,0.0006733
35,928.463,1.31499,1.64286,1.46564,0.64552,0.7091,0.74515,0.52024,1.01148,1.17217,1.40384,0.0006634,0.0006634,0.0006634
36,954.794,1.31671,1.63594,1.46108,0.66548,0.71265,0.72199,0.52102,0.98337,1.10366,1.37289,0.0006535,0.0006535,0.0006535
37,981.023,1.29663,1.60966,1.4469,0.65171,0.70313,0.74696,0.52479,1.00916,1.05816,1.37601,0.0006436,0.0006436,0.0006436
38,1007.04,1.30621,1.60626,1.44909,0.68646,0.74704,0.76756,0.5334,0.98446,1.03827,1.37373,0.0006337,0.0006337,0.0006337
39,1033.03,1.29233,1.58864,1.45054,0.67131,0.73563,0.76311,0.54743,0.98229,1.0084,1.36388,0.0006238,0.0006238,0.0006238
40,1058.54,1.30412,1.60249,1.45333,0.62762,0.71817,0.72673,0.52139,0.97894,1.12593,1.33728,0.0006139,0.0006139,0.0006139
41,1083.91,1.29743,1.60376,1.448,0.69794,0.67492,0.72739,0.51439,0.9552,1.07167,1.34351,0.000604,0.000604,0.000604
42,1109.53,1.29638,1.58566,1.44252,0.69098,0.74092,0.77626,0.54531,0.92521,1.02752,1.30332,0.0005941,0.0005941,0.0005941
43,1134.8,1.28273,1.56638,1.44102,0.71891,0.69302,0.74617,0.53509,0.94959,1.04251,1.3031,0.0005842,0.0005842,0.0005842
44,1159.99,1.28694,1.57254,1.43611,0.70825,0.72976,0.75912,0.54576,0.95873,1.02005,1.32862,0.0005743,0.0005743,0.0005743
45,1185.18,1.27643,1.55252,1.42853,0.66113,0.76045,0.7564,0.54899,0.91787,0.9757,1.28631,0.0005644,0.0005644,0.0005644
46,1210.51,1.28858,1.56274,1.4381,0.6967,0.72504,0.7706,0.55493,0.94824,0.99913,1.31487,0.0005545,0.0005545,0.0005545
47,1236,1.27053,1.5528,1.42377,0.63244,0.78209,0.78397,0.56383,0.94724,1.00145,1.32992,0.0005446,0.0005446,0.0005446
48,1261.34,1.27503,1.55338,1.43029,0.70614,0.70994,0.74328,0.53703,0.94959,0.98693,1.34104,0.0005347,0.0005347,0.0005347
49,1286.51,1.26626,1.55047,1.42254,0.75485,0.73854,0.78709,0.56153,0.9614,0.98064,1.31952,0.0005248,0.0005248,0.0005248
50,1311.92,1.26168,1.53197,1.41917,0.65404,0.78729,0.78007,0.57514,0.94658,0.99283,1.31961,0.0005149,0.0005149,0.0005149
51,1337.3,1.26012,1.52829,1.41808,0.7524,0.73952,0.77578,0.55663,0.95492,0.96381,1.34789,0.000505,0.000505,0.000505
52,1362.75,1.26028,1.53243,1.41727,0.67039,0.7328,0.76745,0.56244,0.93495,0.98727,1.30573,0.0004951,0.0004951,0.0004951
53,1388.4,1.26844,1.53137,1.42311,0.7517,0.69163,0.78118,0.55786,0.94063,0.95439,1.31141,0.0004852,0.0004852,0.0004852
54,1413.8,1.24685,1.5164,1.40617,0.77423,0.70863,0.7932,0.58507,0.90253,0.93278,1.27558,0.0004753,0.0004753,0.0004753
55,1439.21,1.25916,1.5237,1.41871,0.74785,0.70383,0.77749,0.57369,0.9047,0.95053,1.27084,0.0004654,0.0004654,0.0004654
56,1464.64,1.24444,1.50824,1.40763,0.71032,0.71066,0.76408,0.56015,0.9366,0.9627,1.30762,0.0004555,0.0004555,0.0004555
57,1490.24,1.23882,1.48775,1.39837,0.70244,0.74359,0.79423,0.58143,0.91319,0.97609,1.28394,0.0004456,0.0004456,0.0004456
58,1515.9,1.24083,1.49184,1.40688,0.77439,0.74199,0.79969,0.591,0.90689,0.90147,1.28987,0.0004357,0.0004357,0.0004357
59,1541.58,1.24099,1.49185,1.39837,0.80308,0.735,0.81584,0.59339,0.92132,0.92248,1.3164,0.0004258,0.0004258,0.0004258
60,1567.07,1.24567,1.4914,1.4011,0.77994,0.76216,0.80195,0.59854,0.90892,0.87883,1.27579,0.0004159,0.0004159,0.0004159
61,1592.69,1.22489,1.46873,1.3944,0.75163,0.72623,0.80368,0.60017,0.91019,0.89143,1.28762,0.000406,0.000406,0.000406
62,1618.21,1.23132,1.47017,1.39551,0.66694,0.80946,0.81467,0.60395,0.89737,0.88504,1.26514,0.0003961,0.0003961,0.0003961
63,1643.59,1.22515,1.47213,1.39808,0.77516,0.73896,0.78141,0.57842,0.92262,0.88326,1.29179,0.0003862,0.0003862,0.0003862
64,1668.98,1.23224,1.46251,1.39592,0.79876,0.73912,0.81288,0.59986,0.91038,0.85057,1.2843,0.0003763,0.0003763,0.0003763
65,1694.38,1.2336,1.47479,1.39031,0.74045,0.78888,0.82591,0.60087,0.90964,0.86662,1.29349,0.0003664,0.0003664,0.0003664
66,1719.79,1.2185,1.4461,1.38685,0.73603,0.75787,0.80253,0.58559,0.89294,0.90319,1.27307,0.0003565,0.0003565,0.0003565
67,1745.26,1.2156,1.45075,1.38254,0.77632,0.78568,0.82101,0.60932,0.88174,0.86198,1.26625,0.0003466,0.0003466,0.0003466
68,1770.9,1.20958,1.44771,1.3824,0.75562,0.79069,0.84269,0.62105,0.87,0.84831,1.25785,0.0003367,0.0003367,0.0003367
69,1796.53,1.21646,1.44247,1.37755,0.76284,0.79242,0.84249,0.63264,0.8659,0.84342,1.24429,0.0003268,0.0003268,0.0003268
70,1822.03,1.20006,1.42698,1.3711,0.7724,0.74345,0.82385,0.60064,0.88019,0.83439,1.25254,0.0003169,0.0003169,0.0003169
71,1847.58,1.20873,1.44088,1.38088,0.75268,0.76809,0.81832,0.60813,0.88015,0.86121,1.2619,0.000307,0.000307,0.000307
72,1873.14,1.20051,1.42549,1.37475,0.80266,0.74876,0.80989,0.61509,0.87561,0.82084,1.25615,0.0002971,0.0002971,0.0002971
73,1898.5,1.20755,1.42965,1.37588,0.77289,0.77178,0.81298,0.59746,0.89088,0.84447,1.26984,0.0002872,0.0002872,0.0002872
74,1923.85,1.19922,1.41684,1.36955,0.71759,0.80553,0.83065,0.61663,0.86148,0.84552,1.23416,0.0002773,0.0002773,0.0002773
75,1949.43,1.18059,1.40451,1.36111,0.82662,0.73944,0.84319,0.6271,0.85749,0.82172,1.23709,0.0002674,0.0002674,0.0002674
76,1974.78,1.19834,1.41101,1.36938,0.76969,0.76867,0.8162,0.61284,0.85348,0.82214,1.23587,0.0002575,0.0002575,0.0002575
77,2000.19,1.19252,1.39306,1.36497,0.74887,0.78124,0.81862,0.60214,0.89038,0.82356,1.25406,0.0002476,0.0002476,0.0002476
78,2025.4,1.19208,1.40789,1.37234,0.75072,0.7798,0.82665,0.61801,0.86256,0.81294,1.24861,0.0002377,0.0002377,0.0002377
79,2051.18,1.19608,1.3919,1.36907,0.76741,0.75779,0.83398,0.61914,0.88249,0.79139,1.25658,0.0002278,0.0002278,0.0002278
