epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9833,1.74533,3.05876,1.80304,0.64475,0.1114,0.12941,0.07399,1.52455,4.02537,1.93973,0.0671387,0.000331933,0.000331933
2,59.9797,1.67529,2.48988,1.74417,0.31707,0.3702,0.21026,0.1135,1.32804,3.06073,1.70535,0.0341321,0.00065868,0.00065868
3,86.5929,1.64121,2.31494,1.728,0.59648,0.30101,0.3244,0.18512,1.35892,2.55107,1.80476,0.00111888,0.000978827,0.000978827
4,113.032,1.60095,2.21804,1.69493,0.59107,0.34614,0.33381,0.18202,1.35771,2.66839,1.74827,0.0009703,0.0009703,0.0009703
5,139.369,1.5739,2.16001,1.67104,0.70906,0.36205,0.35242,0.21679,1.21433,2.46681,1.63646,0.0009604,0.0009604,0.0009604
6,165.854,1.55367,2.11015,1.65704,0.7336,0.41109,0.41765,0.27292,1.23318,2.08621,1.63492,0.0009505,0.0009505,0.0009505
7,192.079,1.53271,2.0569,1.6451,0.50309,0.44241,0.44195,0.29279,1.18716,1.87841,1.581,0.0009406,0.0009406,0.0009406
8,218.447,1.50396,2.02143,1.61916,0.61374,0.4891,0.45194,0.29124,1.20293,2.02419,1.59058,0.0009307,0.0009307,0.0009307
9,244.777,1.491,1.99342,1.60019,0.56051,0.44007,0.47585,0.2951,1.17932,1.70632,1.59327,0.0009208,0.0009208,0.0009208
10,271.118,1.48207,1.961,1.60221,0.39573,0.52465,0.50354,0.33836,1.10735,1.87643,1.53716,0.0009109,0.0009109,0.0009109
11,297.359,1.45477,1.91682,1.57718,0.41348,0.55148,0.53266,0.33828,1.12901,1.74858,1.47909,0.000901,0.000901,0.000901
12,323.721,1.45156,1.90551,1.57751,0.80848,0.47401,0.53458,0.36044,1.14586,1.61679,1.52801,0.0008911,0.0008911,0.0008911
13,350.182,1.45226,1.89308,1.57115,0.60869,0.48906,0.52315,0.36397,1.07544,1.66579,1.49361,0.0008812,0.0008812,0.0008812
14,376.489,1.4303,1.86922,1.56063,0.56507,0.53537,0.57861,0.40206,1.07948,1.52622,1.47763,0.0008713,0.0008713,0.0008713
15,402.992,1.43851,1.85988,1.55248,0.56288,0.53976,0.54655,0.36824,1.10167,1.54674,1.49894,0.0008614,0.0008614,0.0008614
16,429.227,1.41369,1.83304,1.54597,0.51957,0.6136,0.56984,0.38484,1.087,1.47974,1.48596,0.0008515,0.0008515,0.0008515
17,455.617,1.4178,1.81776,1.5412,0.50404,0.64495,0.57446,0.38132,1.09273,1.49546,1.49474,0.0008416,0.0008416,0.0008416
18,481.463,1.407,1.8109,1.53941,0.58612,0.6306,0.63101,0.42989,1.05173,1.36344,1.44354,0.0008317,0.0008317,0.0008317
19,507.63,1.39332,1.78858,1.53369,0.48928,0.72617,0.62876,0.42734,1.09193,1.42647,1.49146,0.0008218,0.0008218,0.0008218
20,533.841,1.39614,1.78036,1.53239,0.54431,0.66702,0.64761,0.44716,1.04601,1.4342,1.40721,0.0008119,0.0008119,0.0008119
21,560.292,1.38382,1.75944,1.51994,0.50573,0.72259,0.65987,0.44986,1.09832,1.34056,1.47351,0.000802,0.000802,0.000802
22,586.562,1.3715,1.75146,1.51121,0.54708,0.63275,0.61247,0.4129,1.078,1.39826,1.46659,0.0007921,0.0007921,0.0007921
23,612.855,1.36789,1.73968,1.50934,0.53179,0.60432,0.61079,0.4291,1.03735,1.32877,1.43307,0.0007822,0.0007822,0.0007822
